"vendor","source","source_product_id","title","description","category","brand","sku","price_usd","discount_percentage","rating","stock","availability_status","minimum_order_quantity","tags","weight","dimensions","warranty_information","shipping_information","return_policy","thumbnail_url","image_urls","local_image_paths"
"Super Store Vendor","DummyJSON product catalog sample data","1","Essence Mascara Lash Princess","The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.","beauty","Essence","BEA-ESS-ESS-001","9.99","10.48","2.56","99","In Stock","48","beauty; mascara","4","W:15.14 H:13.08 D:22.99","1 week warranty","Ships in 3-5 business days","No return policy","https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/thumbnail.webp","https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/1.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\essence-mascara-lash-princess\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\essence-mascara-lash-princess\02.webp"
"Super Store Vendor","DummyJSON product catalog sample data","2","Eyeshadow Palette with Mirror","The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.","beauty","Glamour Beauty","BEA-GLA-EYE-002","19.99","18.19","2.86","34","In Stock","20","beauty; eyeshadow","9","W:9.26 H:22.47 D:27.67","1 year warranty","Ships in 2 weeks","7 days return policy","https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/thumbnail.webp","https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/1.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\eyeshadow-palette-with-mirror\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\eyeshadow-palette-with-mirror\02.webp"
"Super Store Vendor","DummyJSON product catalog sample data","3","Powder Canister","The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.","beauty","Velvet Touch","BEA-VEL-POW-003","14.99","9.84","4.64","89","In Stock","22","beauty; face powder","8","W:29.27 H:27.93 D:20.59","3 months warranty","Ships in 1-2 business days","No return policy","https://cdn.dummyjson.com/product-images/beauty/powder-canister/thumbnail.webp","https://cdn.dummyjson.com/product-images/beauty/powder-canister/1.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\powder-canister\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\powder-canister\02.webp"
"Super Store Vendor","DummyJSON product catalog sample data","4","Red Lipstick","The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.","beauty","Chic Cosmetics","BEA-CHI-LIP-004","12.99","12.16","4.36","91","In Stock","40","beauty; lipstick","1","W:18.11 H:28.38 D:22.17","3 year warranty","Ships in 1 week","7 days return policy","https://cdn.dummyjson.com/product-images/beauty/red-lipstick/thumbnail.webp","https://cdn.dummyjson.com/product-images/beauty/red-lipstick/1.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\red-lipstick\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\red-lipstick\02.webp"
"Super Store Vendor","DummyJSON product catalog sample data","5","Red Nail Polish","The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.","beauty","Nail Couture","BEA-NAI-NAI-005","8.99","11.44","4.32","79","In Stock","22","beauty; nail polish","8","W:21.63 H:16.48 D:29.84","1 month warranty","Ships overnight","No return policy","https://cdn.dummyjson.com/product-images/beauty/red-nail-polish/thumbnail.webp","https://cdn.dummyjson.com/product-images/beauty/red-nail-polish/1.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\red-nail-polish\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\red-nail-polish\02.webp"
"Super Store Vendor","DummyJSON product catalog sample data","6","Calvin Klein CK One","CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.","fragrances","Calvin Klein","FRA-CAL-CAL-006","49.99","1.89","4.37","29","In Stock","9","fragrances; perfumes","7","W:29.36 H:27.76 D:20.72","1 week warranty","Ships overnight","90 days return policy","https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/thumbnail.webp","https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/1.webp; https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/2.webp; https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/3.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\calvin-klein-ck-one\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\calvin-klein-ck-one\02.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\calvin-klein-ck-one\03.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\calvin-klein-ck-one\04.webp"
"Super Store Vendor","DummyJSON product catalog sample data","7","Chanel Coco Noir Eau De","Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.","fragrances","Chanel","FRA-CHA-CHA-007","129.99","16.51","4.26","58","In Stock","1","fragrances; perfumes","7","W:24.5 H:25.7 D:25.98","3 year warranty","Ships overnight","No return policy","https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/thumbnail.webp","https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/1.webp; https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/2.webp; https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/3.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\chanel-coco-noir-eau-de\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\chanel-coco-noir-eau-de\02.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\chanel-coco-noir-eau-de\03.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\chanel-coco-noir-eau-de\04.webp"
"Super Store Vendor","DummyJSON product catalog sample data","8","Dior J'adore","J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.","fragrances","Dior","FRA-DIO-DIO-008","89.99","14.72","3.8","98","In Stock","10","fragrances; perfumes","4","W:27.67 H:28.28 D:11.83","1 week warranty","Ships in 2 weeks","7 days return policy","https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/thumbnail.webp","https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/1.webp; https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/2.webp; https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/3.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\dior-j-adore\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\dior-j-adore\02.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\dior-j-adore\03.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\dior-j-adore\04.webp"
"Super Store Vendor","DummyJSON product catalog sample data","9","Dolce Shine Eau de","Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.","fragrances","Dolce & Gabbana","FRA-DOL-DOL-009","69.99","0.62","3.96","4","Low Stock","2","fragrances; perfumes","6","W:27.28 H:29.88 D:18.3","3 year warranty","Ships in 1 month","7 days return policy","https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/thumbnail.webp","https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/1.webp; https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/2.webp; https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/3.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\dolce-shine-eau-de\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\dolce-shine-eau-de\02.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\dolce-shine-eau-de\03.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\dolce-shine-eau-de\04.webp"
"Super Store Vendor","DummyJSON product catalog sample data","10","Gucci Bloom Eau de","Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.","fragrances","Gucci","FRA-GUC-GUC-010","79.99","14.39","2.74","91","In Stock","2","fragrances; perfumes","7","W:20.92 H:21.68 D:11.2","6 months warranty","Ships overnight","No return policy","https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/thumbnail.webp","https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/1.webp; https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/2.webp; https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/3.webp","C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\gucci-bloom-eau-de\01.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\gucci-bloom-eau-de\02.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\gucci-bloom-eau-de\03.webp; C:\Users\HP\3D Objects\supertech\super-store-vendor-products\images\gucci-bloom-eau-de\04.webp"
